,flow_rate,voltage,image_classification,ml_classification,nn_classification,generalist_ml_classification
257,12.0,4800.5,dripping (75%),undefined,intermitent,undefined
258,12.0,5000.69,dripping (50%),cone_jet,intermitent,undefined
259,12.0,5200.48,dripping (70%),cone_jet,intermitent,undefined
260,12.0,5400.64,intermitent (65%),cone_jet,intermitent,undefined
261,12.0,5600.46,intermitent (43%),cone_jet,cone_jet,cone_jet
262,12.0,5800.67,intermitent (88%),undefined,intermitent,undefined
263,12.0,6000.5,dripping (96%),undefined,intermitent,undefined
264,12.0,6200.65,multi_jet (33%),undefined,intermitent,undefined
265,12.0,6400.41,cone_jet (99%),undefined,intermitent,undefined
266,12.0,6600.5,cone_jet (100%),undefined,intermitent,undefined
267,12.0,6800.34,cone_jet (75%),undefined,intermitent,undefined
268,12.0,7000.55,cone_jet (76%),undefined,intermitent,undefined
269,12.0,7200.41,multi_jet (51%),undefined,intermitent,undefined
270,12.0,7400.59,multi_jet (97%),undefined,intermitent,undefined
271,12.0,7600.39,cone_jet (85%),undefined,intermitent,undefined
272,12.0,7800.54,intermitent (58%),undefined,intermitent,undefined
273,12.0,8000.39,multi_jet (99%),undefined,intermitent,undefined
274,12.0,8200.61,multi_jet (100%),undefined,intermitent,undefined
275,12.0,8400.43,multi_jet (100%),undefined,intermitent,undefined
276,12.0,8600.57,multi_jet (100%),undefined,intermitent,undefined
277,12.0,8800.39,multi_jet (100%),dripping,none,undefined
278,12.0,9000.25,multi_jet (100%),undefined,intermitent,undefined
279,13.0,3000.58,dripping (87%),intermitent,intermitent,intermitent
280,13.0,3200.52,dripping (94%),undefined,intermitent,undefined
281,13.0,3400.51,dripping (100%),intermitent,intermitent,undefined
282,13.0,3600.46,dripping (95%),intermitent,intermitent,intermitent
283,13.0,3800.6,dripping (99%),undefined,intermitent,undefined
284,13.0,4000.46,dripping (100%),cone_jet,intermitent,undefined
285,13.0,4200.6,dripping (99%),cone_jet,intermitent,undefined
286,13.0,4400.47,dripping (82%),undefined,intermitent,undefined
287,13.0,4600.66,dripping (71%),cone_jet,intermitent,undefined
288,13.0,4800.52,intermitent (96%),cone_jet,intermitent,undefined
289,13.0,5000.67,dripping (95%),cone_jet,intermitent,undefined
290,13.0,5200.49,multi_jet (54%),cone_jet,intermitent,undefined
291,13.0,5400.64,intermitent (100%),cone_jet,intermitent,undefined
292,13.0,5600.48,intermitent (73%),undefined,intermitent,undefined
293,13.0,5800.69,intermitent (100%),undefined,intermitent,undefined
294,13.0,6000.53,multi_jet (87%),undefined,intermitent,undefined
295,13.0,6200.66,dripping (65%),undefined,intermitent,undefined
296,13.0,6400.37,multi_jet (100%),undefined,intermitent,undefined
